Test Size,Name Method,Name Function,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,Decision Tree,Decision Tree,None,none,none,0.8043478260869565,0.1875,0.38834934967282275,0.21428571428571427,0.25,0.6451612903225806,0.49592391304347827,"[[37  9]
 [13  3]]"
0.2,SVM (lib),SVM (lib),None,none,none,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
0.2,ADA_DSTree,ADA_DSTree,None,none,none,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ADA_SVM,ADA_SVM,None,none,none,0.9565217391304348,0.0625,0.24450482346091287,0.10526315789473684,0.3333333333333333,0.7258064516129032,0.5095108695652174,"[[44  2]
 [15  1]]"
0.2,CNN,CNN,None,none,none,0.9782608695652174,0.0,0.0,0.0,0.0,0.7258064516129032,0.4891304347826087,"[[45  1]
 [16  0]]"
0.2,WSVM,WSVM,10,10,0.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ADA_WSVM,ADA_WSVM,10,10,0.5,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
0.2,ImADA_1_DecisionTree,ImADA_1_DecisionTree,10,10,0.5,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ImADA_2_DecisionTree,ImADA_2_DecisionTree,10,10,0.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_DecisionTree,ImADA_12_DecisionTree,10,10,0.5,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
